River,Q (m^3/s),L (km),M_Injected (kg),M_Passed (kg),M_Loss (%),Ka_initial (1/hr),Peak_Concentration (ug/L)
Big Piney,5.777,1.5,2.4,0.8986,62.5587,0.0692,52.87
Kootenai,198.4,14.659,14.514,13.8648,4.4731,0.0034,7.76
